0.1	1	1
0.2	1	1
0.3	1	1
0.4	1	1
0.5	1	1
0.6	1	1
0.7	1	2
0.8	1	3
0.9	1	3
1	1	4
1.1	1	5
1.2	1	5
1.3	1	6
1.4	1	8
21.4	0	7
41.4	0	7
61.4	0	7
81.4	0	7
101.4	0	7
121.4	0	7
141.4	0	6
161.4	0	6
181.4	0	5
182	0	5
182.1	2	5
182.2	2	5
182.3	2	5
182.4	2	5
182.5	2	5
182.6	2	5
182.7	2	5
182.8	2	5
182.9	2	5
183	2	5
183.1	2	6
183.2	2	6
183.3	2	6
183.4	2	9
183.5	2	12
183.6	2	13
183.7	2	15
183.8	2	25
183.9	2	39
184	2	57
184.1	2	71
184.2	2	125
184.3	2	185
204.3	0	178
224.3	0	176
244.3	0	164
264.3	0	158
284.3	0	149
304.3	0	143
324.3	0	133
344.3	0	121
364.3	0	112
365	0	112
365.1	3	112
365.2	3	112
365.3	3	112
365.4	3	112
365.5	3	112
365.6	3	112
365.7	3	112
365.8	3	112
365.9	3	112
366	3	112
366.1	3	112
366.2	3	112
366.3	3	113
366.4	3	113
366.5	3	113
366.6	3	114
366.7	3	114
366.8	3	114
366.9	3	116
367	3	117
367.1	3	125
367.2	3	134
367.3	3	149
367.4	3	168
367.5	3	208
367.6	3	251
367.7	3	292
367.8	3	376
367.9	3	478
368	3	621
368.1	3	800
368.2	3	996
368.3	3	1247
368.4	3	1496
368.5	3	1806
368.6	3	2126
368.7	3	2492
368.8	3	2871
368.9	3	3263
369	3	3701
369.1	3	4136
369.2	3	4555
369.3	3	5011
369.4	3	5439
369.5	3	5891
369.6	3	6304
369.7	3	6719
369.8	3	7132
369.9	3	7534
370	3	7943
370.1	3	8382
370.2	3	8791
370.3	3	9215
370.4	3	9632
370.5	3	10034
370.6	3	10434
370.7	3	10850
370.8	3	11281
370.9	3	11675
371	3	12061
371.1	3	12444
371.2	3	12892
371.3	3	13303
371.4	3	13696
371.5	3	14119
371.6	3	14522
371.7	3	14921
371.8	3	15349
371.9	3	15757
372	3	16179
392	0	15404
398	0	15187
398.1	4	15183
398.2	4	15177
398.3	4	15180
398.4	4	15189
398.5	4	15190
398.6	4	15192
398.7	4	15201
398.8	4	15208
